name,rating,title,body,date,date_raw,issue_list,is_business,churn_score,churn_risk_level
Alex S,1,"Just set up an account for the bar,","Just set up an account for the bar,  Bounced and deleted all profile and now can’t set up a new account, there are better apps out there",2026-03-29 11:33:29+00:00,4 days ago,['Technical/Hardware'],False,60,HIGH RISK (Churn Likely)
Mr Flaherty,5,Simple and easy to use,Simple and easy to use,2026-03-29 10:54:57+00:00,4 days ago,[],False,0,LOW RISK (Healthy)
Chidi Emelue,5,Faster way of receiving payment and…,Faster way of receiving payment and efficiency,2026-03-29 09:55:36+00:00,4 days ago,[],False,0,LOW RISK (Healthy)
maartenjlamers,2,No client support is provided or…,"No client support is provided or reimbursed for the fraudulent online payment service  Asked for assistance and no one got back promising to contact the next day  Very unreliable spinet service , the transaction fee is too high 175 time to change for new and more loyal provider",2026-03-29 08:40:14+00:00,4 days ago,"['Support failure', 'Pricing/Refunds']",False,40,MEDIUM RISK (Monitor)
Fardin,5,Good Service and fantastic customer…,Good Service and fantastic customer support Also great commission,2026-03-29 07:31:44+00:00,4 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Abdulkarem Alsayadi,5,Easy and quick,Easy and quick,2026-03-29 01:55:02+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Gill Clark,5,Excellent Service,Excellent Service,2026-03-29 01:46:52+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Abdulaziz Abbasy,1,Too slow transferring,Too slow transferring,2026-03-29 01:17:21+00:00,5 days ago,['General Dissatisfaction'],False,60,HIGH RISK (Churn Likely)
Svetlana Grasman-Mamedov,5,Good bro cool,,2026-03-28 22:58:28+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Rukhsar Muhammad Nagra,5,Good customer service,Good customer service,2026-03-28 22:49:55+00:00,5 days ago,[],True,0,LOW RISK (Healthy)
Lee Rogers,5,Easy to use fast payout now also nice…,Easy to use fast payout now also nice to have help with the cash your box if you need it I was gonna use it more to keep records of my business cash payments and payments made Excellent,2026-03-28 21:22:53+00:00,5 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Sajid Mahmood,4,Good,Very good work,2026-03-28 21:15:49+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Ali Kucukarslan,5,I am very happy,I am very happy,2026-03-28 20:58:59+00:00,5 days ago,['Technical/Hardware'],True,0,LOW RISK (Healthy)
Geert,4,Sumup generally good to use,"Sumup provides a great and usefull platform The only sidenote i have is that the payments are in my opinion slower than i prever Altough i have chosen daly payments, its often 2 or 3 days delayed But overall im happy with Sumup",2026-03-28 20:26:14+00:00,5 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Kayleigh Spencer,5,Great service and no problems,,2026-03-28 19:12:22+00:00,5 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Eugen Andrei,5,For me all services ate top 🔝 and…,For me all services ate top 🔝 and suport helping me white all my problems 🙏🤝👍🙏,2026-03-28 18:39:41+00:00,5 days ago,"['Support failure', 'Technical/Hardware']",False,0,LOW RISK (Healthy)
michael Vaz,5,Great business,Great business,2026-03-28 17:11:07+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Salome Ongom,5,I get my money in time,I get my money in time,2026-03-28 17:00:31+00:00,5 days ago,['Account/Funds Blocked'],False,0,LOW RISK (Healthy)
DAVEDANGEROUS,1,Absolute waste of time,Absolute waste of time Payments take ages to come through just to verify who iam but yet when uploading all the documents they cant be bothered to just update the file right away Spoke to customer services twice and they are absolute Jokers not sorting it out  ‪85250524‬ is the reference,2026-03-28 16:57:01+00:00,5 days ago,['General Dissatisfaction'],False,60,HIGH RISK (Churn Likely)
MAHMUT ERTAS,5,Very good service thank you,Very good service thank you,2026-03-28 16:50:52+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Fiona Shires,5,Great service,"Simple, easy way to accept payments",2026-03-28 16:46:07+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Terry Aitkins,2,When it works its great,When it works its great When it works,2026-03-28 14:45:46+00:00,5 days ago,['General Dissatisfaction'],False,40,MEDIUM RISK (Monitor)
Nayham Creations,5,My most memorable experience with SumUp…,"My most memorable experience with SumUp dates back to when I returned from France to England I’d put my handbag in my suitcase before having it weighed, as I didn’t want to carry anything When I went to collect my suitcase, I couldn’t find it I reported it missing at London Airport they searched everywhere, checked the CCTV footage, and told me they couldn’t find my suitcase I thought to myself ‘This can’t be true’ About 45 minutes or an hour had passed when I received a notification from SumUp informing me that my card was being used in a drinks shop It took me a few more minutes to realise that my suitcase had been stolen Thank goodness I didn’t have any problems I followed the necessary steps with SumUp via the app, and I was fully reimbursed after a few days It was a relief Especially after I got back from my trip",2026-03-28 14:45:39+00:00,5 days ago,"['Support failure', 'Technical/Hardware']",False,0,LOW RISK (Healthy)
Mulugeta Kahsay,5,It’s amazing quality and quick delivery…,It’s amazing quality and quick delivery service 😀😀,2026-03-28 14:34:13+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
anthony jones,4,Low commission,,2026-03-28 14:08:02+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Yasir Bashir,1,Pathetic services,"Pathetic services, have put my account on hold for last three weeks and despite contacting them several time no one is bothering to resolve the matter",2026-03-28 13:39:56+00:00,5 days ago,['Account/Funds Blocked'],False,60,HIGH RISK (Churn Likely)
Shehu Godwin,5,Great performer,"Great performer, always deliver good service, prompt payment and fair commission taken",2026-03-28 13:29:46+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Ann Aziz,1,Been having problems with my Sumup Card…,"Been having problems with my Sumup card,declined and pin code error on and off again without reasonCalled to complaint,said will sort out and get emailedThere were none till today but the £19 charges always ontime never failed thinking to terminate it for good",2026-03-28 13:05:41+00:00,5 days ago,"['Technical/Hardware', 'Pricing/Refunds']",False,60,HIGH RISK (Churn Likely)
carlton griffiths,5,Very good indeed,Very good indeed,2026-03-28 13:03:17+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Oleg Dadayan,5,Good service simple service,Good service simple service,2026-03-28 12:57:41+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
G.Gill ireland,5,Great service easy to use reliable safe…,Great service easy to use reliable safe and never let me down,2026-03-28 12:37:55+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Anne Campbell,4,So far good service,Good service had no issues so far service team responded well,2026-03-28 12:29:09+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Amit Amit,5,I like it I am very happy,I like it I am very happy,2026-03-28 12:26:46+00:00,5 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Brahim Semail,5,Merci top 👌👌👌,,2026-03-28 12:17:07+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Kieran,5,Very simple an effective way to be paid…,Very simple an effective way to be paid using a card machineand prompt payments to me,2026-03-28 12:17:04+00:00,5 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Brahim Semail,5,Merci top 👌👌👌,,2026-03-28 12:17:07+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Kieran,5,Very simple an effective way to be paid…,Very simple an effective way to be paid using a card machineand prompt payments to me,2026-03-28 12:17:04+00:00,5 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
steven jones,5,So simple to use,Simple efficient,2026-03-28 12:14:22+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Taimoor Ali,5,Service,Service payment,2026-03-28 12:06:58+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
John Henry,2,I have been trying to get a New Sumup…,I have been trying to get a New Sumup credit card for ages but to no avail can you please Help Me,2026-03-28 12:01:12+00:00,5 days ago,['Support failure'],False,40,MEDIUM RISK (Monitor)
ROBERT LUCAS,5,Payments go through right away and the…,Payments go through right away and the loans are very helpful,2026-03-28 11:48:06+00:00,5 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Verónica Landi,5,It works great and it helps a lot to…,"It works great and it helps a lot to take payments, I love it",2026-03-28 11:27:53+00:00,5 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Aks abbas Shah,5,Very best,"Very best, fast, humble process and professional",2026-03-28 11:00:34+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Yasir Hussain,5,Its good100,,2026-03-28 10:51:09+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Sales,5,Test,Test test test,2026-03-28 09:58:26+00:00,5 days ago,[],False,0,LOW RISK (Healthy)
Michelle,5,A great addition to my business,It’s just so easy to use the handset I’m kept up to date about the progress and when I can transfer to my account and it is all done very quickly and supported with a clear record of the transaction,2026-03-28 09:09:49+00:00,5 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Gregory Pollet,5,Cet une super applications,Cet une super applications,2026-03-28 08:48:28+00:00,5 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
stephen mcvey,5,I have been with SumUpcom for 5 years…,"I have been with SumUpcom for 5 years and I am very happy with the excellent customer service we receive, we are super impressed with the customer friendly functionality of the whole sale process with a very smooth operation throughout the sale process for vendor and our customers thank you to SumUpcom ❤️👍🏴󠁧󠁢󠁳󠁣󠁴󠁿⭐️💕🏆",2026-03-28 03:45:16+00:00,6 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Atif,5,Amazing for small businesses,Amazing for small businesses,2026-03-28 01:07:43+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
Erendira Mendoza,5,Easy to understand and variable way to…,Easy to understand and variable way to collect payments from clients remotely,2026-03-28 00:24:13+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
Emmanuel Eruteta,4,Im so happy coz my job is busy,Coz my job is getting better,2026-03-27 23:54:29+00:00,6 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
AMJAD HUSSAIN,5,It’s amazing service,It’s amazing service Im very happy,2026-03-27 23:23:18+00:00,6 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Muhammad Shafiq,5,Good,Good service,2026-03-27 23:17:56+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
MR T RAFIQ,5,It so easy and transfer money so quick,It so easy and transfer money so quick,2026-03-27 20:22:56+00:00,6 days ago,['Account/Funds Blocked'],False,0,LOW RISK (Healthy)
Maryna Cole,5,Excellent platform,Excellent platform,2026-03-27 18:39:09+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
Emma McCormack,1,Dont waste your time,"I would not recommend sum up at all I have been with the the last 4 years it started off great but the last 6 months have been torcher so much so its come time for us to move our business elsewhere Their customer service its terrible, they spend time arguing with you on the phone rather than try to fix the issue When you finally get them to agree to fix an issue youve to spend hours chasing them for updates They have changed their plans recently too and now are much more expensive If your VAT registered stay away from them",2026-03-27 15:37:03+00:00,6 days ago,"['Support failure', 'Pricing/Refunds']",False,60,HIGH RISK (Churn Likely)
Fatou Fall,5,Gracias ❤️❤️❤️❤️,,2026-03-27 14:20:14+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
Hannah Bass,5,I had a problem with the machine and…,I had a problem with the machine and tech sorted it straight away,2026-03-27 13:59:07+00:00,6 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
NPE,1,Reaching a support agent is… Loaren,"Reaching a support agent is unnecessarily difficult In addition, when I was able to connect with one, they did not fully understand the issue and were unable to provide effective assistance",2026-03-27 12:28:03+00:00,6 days ago,['Support failure'],False,60,HIGH RISK (Churn Likely)
Dimitrios Tsompanidis,5,Super Service,Easy Application,2026-03-27 11:31:00+00:00,6 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
R Frith,5,Easier then any other bank,Easier then any other bank to deal with Quicker to sort any problems then other banks Easier to get answers then any other bank  Do exactly what they say,2026-03-27 11:26:57+00:00,6 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Karina,4,All ok apart from being forced to do…,All ok apart from being forced to do this review ,2026-03-27 10:19:21+00:00,6 days ago,['Account/Funds Blocked'],False,0,LOW RISK (Healthy)
Victoria Lee,4,Up to yet really good service,Up to yet really good service,2026-03-27 10:17:20+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
Maxime Weydert,3,Good but equipement is not great,The website and idea is really good but i have often problems with my machine who is only 2 months old,2026-03-27 10:01:49+00:00,6 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Rachel Kelly,5,Excellent service,,2026-03-27 09:48:03+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
BonAbri Vacances,4,We as bed and breakfast are happy with SumUp,"We have a bed and breakfast in a small town in the SouthWest of France No banks, no cash machines within 14 km The possibility to have SumUp is not only good for our guests but also for us Guests dont need cash for unexpected expenses, like dinner and drinhs For us as a bb owners is having the payment options from SumUp giving us a lot of advantages a very reasonable price With a booking I can ask on an easy way for a deposit Guests are spending more on food and drinks More last minute reservations And we dont need to have a lot of cash money in the house Maybe you want to say what has this to do with SumUp First SumUp ask a more than reasonable price for their machines, secondly the procentage of fees are reasonable And the few times I had a problem with a machine they were there for me A colleague of mine has a contract with a French bank, no assistance when he has a problem in the evening or even worse in the weekend He pays every month an account fee, 50 euro every year for the obligatory credit card and a lot more of other fees, the machines cost up to 5 times more and certainly not working better We a small company are happy with SumUp SumUp give also small companies to possibility to accept credit card",2026-03-27 09:15:56+00:00,6 days ago,"['Account/Funds Blocked', 'Technical/Hardware', 'Pricing/Refunds']",False,0,LOW RISK (Healthy)
Azeem Subhani,5,Great and very helpful Wonderful,Great Great and very helpful Wonderful,2026-03-27 09:14:42+00:00,6 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Bazil,4,No comment,No comment But if it will be possible to cash out instantly,2026-03-27 08:34:45+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
Isahinvest,4,Nice,"Nice, good, fast , and secure easy and comfortable to use 👍",2026-03-27 08:15:14+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
To The Whistle Ltd,5,This is a game changer for small business,"Very user friendly, easy to use and most importantly at affordable rates",2026-03-27 05:49:53+00:00,6 days ago,[],True,0,LOW RISK (Healthy)
Jawed Akhtar,5,Brilliant way to improve your business…,Brilliant way to improve your business trust reliable 💯recommended,2026-03-27 05:30:38+00:00,6 days ago,[],False,0,LOW RISK (Healthy)
Anthony Ballenger,1,i applied to open an account to accept…,"i applied to open an account to accept payments with this company on Feb 9th almost 2 months ago, they sent me a email for verififcation asking for company details etc, i provided everything they requested and for two months i have heard nothing, ive submitted countless requests through the accounts dashboard to customer service, and LITERALLY EVERY SINGLE TIME i get an email that says THERE IS A DELAY IN PROCEESSING and noone gives any answers they just ignore you and send repeated emails that say the exact same thing without addresssing you at all If they cant even onboard an account in two months, and then the staff always ignore you and just send you form letters and close the chats, how do they treat their actual clients",2026-03-27 05:28:55+00:00,6 days ago,"['Support failure', 'Technical/Hardware']",False,60,HIGH RISK (Churn Likely)
robert cowie,5,Rapid payouts,"Rapid payouts, reasonable cost",2026-03-27 03:52:27+00:00,7 days ago,['Pricing/Refunds'],False,0,LOW RISK (Healthy)
martin hanson,5,amazing does the job what I need,amazing does the job what I need,2026-03-27 00:06:16+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
Anthony Crilly,5,Great good good,,2026-03-26 23:53:22+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
Joanne Gribble,5,Easy to use quick payout everything I…,Easy to use quick payout everything I need,2026-03-26 23:50:04+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
AZM ZUBAIDUL HAQUE,4,SumUp is good but charges bit high,SumUp is good but charges bit high So if can reduce better for small business,2026-03-26 23:05:06+00:00,7 days ago,['Pricing/Refunds'],False,0,LOW RISK (Healthy)
l elstone,5,Easy to use when transferring to…,Easy to use when transferring to different accounts,2026-03-26 21:55:53+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
EMON HOSSAIN ANTOR,3,Good job so fast transfer100,good job so fast transfer hundred percent 100,2026-03-26 21:48:46+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
Helen Smith,4,Good but Buggs you a lot,Good but Buggs you a lot,2026-03-26 20:31:17+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
Ian Evans,5,I love SumUp,"I love SumUp since I started my own business it has been invaluable, so simple to use and the customer support is top class ",2026-03-26 20:29:53+00:00,7 days ago,['Support failure'],False,0,LOW RISK (Healthy)
Tudor Marian Manciu,1,They closed my account and notice was 2…,"They closed my account and notice was 2 hours and bank holiday I lost too much money because of Sumup Never trust this company, they will let you down",2026-03-26 19:42:25+00:00,7 days ago,['Account/Funds Blocked'],False,60,HIGH RISK (Churn Likely)
Vicky Gregory,4,Happy,"The portable aspect, the versatility of the app and the speed of payouts are great",2026-03-26 19:07:54+00:00,7 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Silvio Crea,1,I keep asking for help,"I keep asking for help, for different things but after a while they cut the conversation I asked Also several times to call but nothing",2026-03-26 18:49:28+00:00,7 days ago,['Support failure'],False,60,HIGH RISK (Churn Likely)
Paul Finlayson,5,Card payments,Its very handy for older people to pay by card,2026-03-26 18:35:40+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
neil gotsell,1,Horrendous company,Horrendous company Avoid like the plague I was unfortunate enough to be the victim of fraud on my account that I use for the local football club and sum up just don’t care They won’t help me recover the money of £1000 which means the kids will now miss out on so much I’m taking it further as the company is a sham,2026-03-26 18:29:39+00:00,7 days ago,"['Support failure', 'Account/Funds Blocked']",False,60,HIGH RISK (Churn Likely)
Mr A Sayer,5,Easy to use paid out really quick no…,Easy to use paid out really quick no complaints,2026-03-26 17:43:00+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
Vhairi,5,Yeah its good to work and payout ate…,Yeah its good to work and payout ate good,2026-03-26 17:38:11+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
Lena Rosén,1,Their customer support is a terrible…,Their customer support is a terrible experience Service down for 2 days due to their mistake and no indication for when this will be solved No visibility and the same questions are asked over and over again and no solution to the issue in sight,2026-03-26 17:26:05+00:00,7 days ago,['Support failure'],False,60,HIGH RISK (Churn Likely)
Edward,1,Bad service or no service,"Bad service or no service No answers on emails If you have a dispute of service that isnt delivered what you payed on internet with your sumup card You never get an answer If there is a large money transfer, they block it and want extra informatie what is normal What not normal is, that if you deliver the information you hear nothing for days and block your money And the same as with the dispute you can only chat with Sumup and they cant or wont do anything",2026-03-26 17:05:07+00:00,7 days ago,"['Support failure', 'Account/Funds Blocked']",False,60,HIGH RISK (Churn Likely)
Mandeep Singh Marva,5,Good thank s,We’re good service,2026-03-26 16:50:21+00:00,7 days ago,[],False,0,LOW RISK (Healthy)
Luis Alberto Diaz,5,Nice and very happy experience,Nice and very happy experience,2026-03-26 16:36:17+00:00,"Mar 26, 2026",['Technical/Hardware'],False,0,LOW RISK (Healthy)
Pshtewan Rasul,5,Very,"Very, very good service and very good security",2026-03-26 16:30:12+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Melanie,5,Great company,Great company easy to navigate,2026-03-26 16:02:14+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Alice,5,A great asset,"SumUp provides an easy option for customers who want to pay by card Now it’s even better no need to carry with you the card reader, just use the app on the phone For a selfemployed person it’s a great asset",2026-03-26 15:26:19+00:00,"Mar 26, 2026","['Support failure', 'Technical/Hardware']",False,0,LOW RISK (Healthy)
James Walsh,5,Easy,User friendly,2026-03-26 15:15:29+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
DeMBOX,2,"2 of the Sumup card reader BLOCKED , forced to buy 3rd one",Well with the payment processing we never had a problem But in the last 9 yrs of business 2 of the Sumup Air devices got blocked automatically and this is my 3ed device which is Sumup solo lite and I am afraid this will also be blocked in next 2 to 3 years What kind of strategy is this to block the old devices and forced your customer to buy new one Customer support is only giving this solution Zero help,2026-03-26 14:52:39+00:00,"Mar 26, 2026","['Support failure', 'Account/Funds Blocked', 'Technical/Hardware']",False,40,MEDIUM RISK (Monitor)
Scott Davidson,5,The best out there,"The best out there , no monthly fee and low percentage, love my one with the built in printer",2026-03-26 14:52:01+00:00,"Mar 26, 2026",['Pricing/Refunds'],False,0,LOW RISK (Healthy)
NASAR IQBAL CHOUDHARY,5,Great work I like it,,2026-03-26 14:35:03+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Colin,5,Helps to increase trade,,2026-03-26 14:32:33+00:00,"Mar 26, 2026",['Support failure'],False,0,LOW RISK (Healthy)
Mohammad Mir,5,Best ever business account and card…,Best ever business account and card machine you can have for your business ❤️ fast easy and professional all with cheap rate 🫶,2026-03-26 14:29:17+00:00,"Mar 26, 2026",['Technical/Hardware'],False,0,LOW RISK (Healthy)
Muhammed Sarfraz,5,Excellent very easy to use thank you,Excellent very easy to use thank you,2026-03-26 14:02:59+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
JOHN,5,Very secure and no fixed over heads…,Very secure and no fixed over heads costs,2026-03-26 14:02:22+00:00,"Mar 26, 2026",['Pricing/Refunds'],False,0,LOW RISK (Healthy)
Máire Ledwith,4,"If you change your phone, link the new device to SumUp","I had problems accessing my money, not realising that my new phone  same number needed to be linked All sorted now",2026-03-26 13:51:28+00:00,"Mar 26, 2026","['Support failure', 'Account/Funds Blocked', 'Technical/Hardware']",False,0,LOW RISK (Healthy)
Erika Patricia Mourao Scirea,5,Im really liking SumUp because of its…,Im really liking SumUp because of its low fees and fast deposit processing I recommend it,2026-03-26 13:34:13+00:00,"Mar 26, 2026",['Pricing/Refunds'],False,0,LOW RISK (Healthy)
Brian smith,5,I have used SumUp for a few years now…,"I have used SumUp for a few years now and I’ve never had a problem, very easy to use and I’m looking forward to using the Sage accounting software through the SumUp app Brilliant",2026-03-26 13:14:03+00:00,"Mar 26, 2026",['Technical/Hardware'],False,0,LOW RISK (Healthy)
Ben Lilley,5,Yyyyyyy,Really need yo do this crap Pls stop wasting my time,2026-03-26 13:11:15+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Kingsley Uyi,5,Too good a product and the very best,Too good a product and the very best,2026-03-26 13:02:31+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Amy,5,Easy to use and efficient,Easy to use and efficient,2026-03-26 12:46:23+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
WANDA ARMSTRONG,4,Wanda Armstrong,Payment Service User experience,2026-03-26 12:45:36+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
David Bidwell,5,Great card machine,"Easy to use ,fast efficient cash transfer,and great tech support when needed once  Makes life so much easier at work",2026-03-26 12:23:32+00:00,"Mar 26, 2026","['Support failure', 'Technical/Hardware']",False,0,LOW RISK (Healthy)
Sabrina,5,Top 👍 application,Top 👍 application,2026-03-26 12:10:51+00:00,"Mar 26, 2026",['Technical/Hardware'],False,0,LOW RISK (Healthy)
Yaser Syed,5,Excilant,Very good nice service,2026-03-26 11:57:20+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Shokat Ali,5,Good,Yes they doing very good,2026-03-26 11:57:05+00:00,"Mar 26, 2026",[],False,0,LOW RISK (Healthy)
Viorel T,1,People take care,"People take care Possibly a scam After sending a 434,64 euros there they close the acces to the App Impossible to acced through the App and impossible to get in touch with them",2026-03-28 08:47:15+00:00,Updated 5 days ago,['Technical/Hardware'],False,60,HIGH RISK (Churn Likely)
bikramjit chahal,5,Good,Good sumup reader,2026-04-02 17:34:46+00:00,29 minutes ago,[],False,0,LOW RISK (Healthy)
Harpreet Kaur,5,Very good and excellent experience,Very good and excellent experience,2026-04-02 17:32:27+00:00,31 minutes ago,[],False,0,LOW RISK (Healthy)
Michael Trevelyan,4,Cant be without it,,2026-04-02 16:43:20+00:00,An hour ago,[],False,0,LOW RISK (Healthy)
john hutchinson,1,useless customer support,I tried to change the name on my account so my customers see my business name rather than my name After 20 minutes explaining this via on line chat to someone who clearly didnt understand they hung up supply a telephone number,2026-04-02 16:42:45+00:00,An hour ago,['Support failure'],False,60,HIGH RISK (Churn Likely)
Claire,5,Quick,"Quick, simple",2026-04-02 16:38:33+00:00,An hour ago,[],False,0,LOW RISK (Healthy)
Liam cook,5,Brillant company for my small buisness,,2026-04-02 16:35:54+00:00,An hour ago,[],False,0,LOW RISK (Healthy)
salesparsleyandthyme.com,1,"STAY AWAY DREADFUL CUSTOMER SERVICE ,NO…","STAY AWAY DREADFUL CUSTOMER SERVICE ,NO SUPPORT",2026-04-02 14:37:32+00:00,3 hours ago,['Support failure'],True,70,CRITICAL (Immediate Action Needed)
Myles Calvert,5,Great service never had a problem,Great service never had a problem Good little card reader,2026-04-02 08:51:55+00:00,9 hours ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
DARSAKKUMAR Patel,5,Very nice Benk uk,Very nice Brnk uk no 1,2026-04-01 21:42:24+00:00,20 hours ago,[],False,0,LOW RISK (Healthy)
Diana Shepherd,5,So straight forward,So straight forward,2026-04-01 19:51:06+00:00,A day ago,[],False,0,LOW RISK (Healthy)
Maleke Ndegala Mbengu,5,Fast transfer,,2026-04-01 19:44:01+00:00,A day ago,[],False,0,LOW RISK (Healthy)
Prakash Dhakal,4,Very nice and good for work,,2026-04-01 19:08:29+00:00,A day ago,[],False,0,LOW RISK (Healthy)
Robert Hope,2,Works ok most of the time but started…,Works ok most of the time but started using my IPhone to take payments and found that Mastercards only works 1 of the time though the iPhone contacted support and got nowhere,2026-04-01 13:38:38+00:00,A day ago,"['Support failure', 'Technical/Hardware']",False,40,MEDIUM RISK (Monitor)
Peshawa ALI,5,Very good,Very good Happy,2026-04-01 12:47:09+00:00,A day ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Nicholas,5,I have no complaints,I have no complaints The system is great for the craft fairs I do Giving customers the choice to pay cash or card,2026-04-01 12:26:27+00:00,A day ago,[],False,0,LOW RISK (Healthy)
Ram Mo,1,Sum up is theif,"Sum up is theif, be careful they wait for you till you reach amount of £3000 then they will block your account and say oh it’s permpently blocked as account is under reviews after I been using it for 4 month for my furniture business I have receipts and online order to prove the funds but they won’t give you the option to appeal or show approve now all sudden they ignoring me and I can’t log to my account they say it will take 2months to review or find all customer I sold to refund  But how can I do either I can’t even refund to my customer they bologked my account and no one is talking to me on support help line it’s all fake please be careful they theif stealing people money then ignore me to get solutions I will see you guys in court",2026-04-01 11:46:17+00:00,A day ago,"['Support failure', 'Account/Funds Blocked', 'Technical/Hardware', 'Pricing/Refunds']",False,60,HIGH RISK (Churn Likely)
Faruk Ozturk,5,Great service,Great service,2026-04-01 11:26:25+00:00,A day ago,[],True,0,LOW RISK (Healthy)
GreenProject,2,So many problem with the app,"So many problem with the app So many security questions , so many verifying questions, so many face recognition Just want to send my own money to myself and got so many problem with that Fee from space  If thats how gonna looks future we all should will stick to cash",2026-04-01 09:53:03+00:00,A day ago,"['Account/Funds Blocked', 'Technical/Hardware', 'Pricing/Refunds']",False,40,MEDIUM RISK (Monitor)
Danai Riala,5,Great app for my business,Great app for my business Super easy,2026-04-01 09:25:19+00:00,A day ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Zubaid Mahmud Firoz,5,Good,Very efficient service,2026-04-01 00:52:12+00:00,2 days ago,[],False,0,LOW RISK (Healthy)
Dario Lorini,4,Best card reader ever,"Best card reader ever it reads every card The service overall is not the cheapest, sometimes it forces you to buy another device, but you should give it a try Bank transfers are immediate while incoming sells are not as quick, but they take one hour at most Used for 9 years now",2026-03-31 22:05:11+00:00,2 days ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
simon Driscoll,1,Nothing worked,,2026-03-31 19:53:29+00:00,2 days ago,['General Dissatisfaction'],False,60,HIGH RISK (Churn Likely)
